Date,normalized_gdp
1947-01-01,-0.9354963678975644
1947-04-01,-0.9351208080630812
1947-07-01,-0.9346363573065456
1947-10-01,-0.9332755556238247
1948-01-01,-0.9324723343943683
1948-04-01,-0.9315582131852571
1948-07-01,-0.9306703436621512
1948-10-01,-0.9305136371691607
1949-01-01,-0.9312277901782422
1949-04-01,-0.9317210807882285
1949-07-01,-0.9315150854153913
1949-10-01,-0.9318180513018396
1950-01-01,-0.9304517581950054
1950-04-01,-0.9291719885022498
1950-07-01,-0.9267919249292231
1950-10-01,-0.9252125377793566
1951-01-01,-0.9230621764588759
1951-04-01,-0.921978624725292
1951-07-01,-0.9210015530446376
1951-10-01,-0.9203595921720706
1952-01-01,-0.9198717929861977
1952-04-01,-0.9197097290062674
1952-07-01,-0.9188162341218745
1952-10-01,-0.9170601838401665
1953-01-01,-0.916100122180546
1953-04-01,-0.9155953129736392
1953-07-01,-0.9156727286599199
1953-10-01,-0.9163693358992734
1954-01-01,-0.9164530466327084
1954-04-01,-0.9163491113860754
1954-07-01,-0.9156961676652817
1954-10-01,-0.9145258246432724
1955-01-01,-0.9127392366860072
1955-04-01,-0.9116062621354033
1955-07-01,-0.9104424820348953
1955-10-01,-0.9095221997158033
1956-01-01,-0.9091667304573445
1956-04-01,-0.9083277480025647
1956-07-01,-0.9076338195066811
1956-10-01,-0.9063919540340248
1957-01-01,-0.9051441953257348
1957-04-01,-0.9048433724340624
1957-07-01,-0.9038435314339136
1957-10-01,-0.9044631247985069
1958-01-01,-0.9054440806571926
1958-04-01,-0.9048496674812166
1958-07-01,-0.9029928964450396
1958-10-01,-0.9011560820477134
1959-01-01,-0.8997129090032924
1959-04-01,-0.8980624012142993
1959-07-01,-0.8977434968042051
1959-10-01,-0.8972658768435177
1960-01-01,-0.8953843274302439
1960-04-01,-0.8955943409182858
1960-07-01,-0.8949884091453892
1960-10-01,-0.8957126074424829
1961-01-01,-0.895066896329058
1961-04-01,-0.893656939703664
1961-07-01,-0.8920337550980643
1961-10-01,-0.8902995365756361
1962-01-01,-0.8885046445136142
1962-04-01,-0.8876537416503931
1962-07-01,-0.886493711790743
1962-10-01,-0.8860580141653601
1963-01-01,-0.8848000762318843
1963-04-01,-0.8837178638700354
1963-07-01,-0.8817500589170298
1963-10-01,-0.8804784593918574
1964-01-01,-0.8783510013280447
1964-04-01,-0.8771653894682567
1964-07-01,-0.8753763906418687
1964-10-01,-0.874668130868421
1965-01-01,-0.8719263029897815
1965-04-01,-0.8702653481012557
1965-07-01,-0.8677028620979274
1965-10-01,-0.8646847218303652
1966-01-01,-0.8614867039387976
1966-04-01,-0.8602481868954788
1966-07-01,-0.8582850697435457
1966-10-01,-0.8564549522048943
1967-01-01,-0.8549993230033381
1967-04-01,-0.8543546833873011
1967-07-01,-0.8521782043179887
1967-10-01,-0.8500076184843102
1968-01-01,-0.8462643423594399
1968-04-01,-0.8429216723204965
1968-07-01,-0.8407142537641065
1968-10-01,-0.8384098646941053
1969-01-01,-0.8350203166444381
1969-04-01,-0.8329197799524982
1969-07-01,-0.8301156712881828
1969-10-01,-0.8290185919000758
1970-01-01,-0.8272703099744306
1970-04-01,-0.8251038761931304
1970-07-01,-0.8226013940435283
1970-10-01,-0.8222599881882866
1971-01-01,-0.8160254806363879
1971-04-01,-0.8131973972180168
1971-07-01,-0.8103306059565052
1971-10-01,-0.8086400509526369
1972-01-01,-0.8032407756146601
1972-04-01,-0.7984511822904379
1972-07-01,-0.7952103045033515
1972-10-01,-0.7900754211458563
1973-01-01,-0.7835679496343723
1973-04-01,-0.778693038330633
1973-07-01,-0.7760208577822113
1973-10-01,-0.7703350908301263
1974-01-01,-0.7683367482015638
1974-04-01,-0.763133690822759
1974-07-01,-0.7591195937330794
1974-10-01,-0.7538085829924366
1975-01-01,-0.7516070576716803
1975-04-01,-0.7468205449024485
1975-07-01,-0.7390566087663973
1975-10-01,-0.7320904024356891
1976-01-01,-0.724234183587099
1976-04-01,-0.7199689542971142
1976-07-01,-0.715384820597035
1976-10-01,-0.7089940083636662
1977-01-01,-0.7017111745548131
1977-04-01,-0.6927024263282887
1977-07-01,-0.6843227810056758
1977-10-01,-0.6781888602710727
1978-01-01,-0.6730336184632059
1978-04-01,-0.6557727331032368
1978-07-01,-0.647278437560111
1978-10-01,-0.6363095187994705
1979-01-01,-0.6296580648264782
1979-04-01,-0.6210007677432076
1979-07-01,-0.6107789505363287
1979-10-01,-0.6032358767993725
1980-01-01,-0.5944015147727401
1980-04-01,-0.5933956465997839
1980-07-01,-0.5854758075937831
1980-10-01,-0.5681880008619414
1981-01-01,-0.5496177456938739
1981-04-01,-0.5444844695824604
1981-07-01,-0.5313483134174788
1981-10-01,-0.5286415770782951
1982-01-01,-0.529514311700796
1982-04-01,-0.521790154905273
1982-07-01,-0.5171894129956803
1982-10-01,-0.5123356637653534
1983-01-01,-0.5028459471488044
1983-04-01,-0.48872428126123796
1983-07-01,-0.4739468589722344
1983-10-01,-0.45981287086470635
1984-01-01,-0.4446313601232649
1984-04-01,-0.4310304419662515
1984-07-01,-0.42103216590193754
1984-10-01,-0.41241987170896166
1985-01-01,-0.40148832141972657
1985-04-01,-0.39282004148822935
1985-07-01,-0.3805130903643622
1985-10-01,-0.3728356776423895
1986-01-01,-0.3642904859733352
1986-04-01,-0.35927507457459845
1986-07-01,-0.35092690448775704
1986-10-01,-0.34423567117423637
1987-01-01,-0.3355928393057035
1987-04-01,-0.32434158098333304
1987-07-01,-0.3138415762671024
1987-10-01,-0.29730850550791144
