Date,1_m_returns_AAPL,1_m_returns_MSFT,inflation_change
1968-01-31,,,
1968-02-29,,,0.0060129207106254245
1968-03-31,,,0.12748165100268705
1968-04-30,,,0.003298787803300396
1968-05-31,,,-0.016262139928576613
1968-06-30,,,0.11186312491443484
1968-07-31,,,0.04565038417837619
1968-08-31,,,0.04071684366094175
1968-09-30,,,0.000331617032169218
1968-10-31,,,0.047359270665862985
1968-11-30,,,0.04183149715132317
1968-12-31,,,0.056850869428840545
1969-01-31,,,0.006983296338810341
1969-02-28,,,0.0006541909415067604
1969-03-31,,,0.06525298165186633
1969-04-30,,,0.06211473751033436
1969-05-31,,,0.04227322456629379
1969-06-30,,,-0.05967996068681458
1969-07-31,,,0.0020863687148846566
1969-08-31,,,0.003987604608806095
1969-09-30,,,0.06547597806568839
1969-10-31,,,-0.04018459043975042
1969-11-30,,,-0.0187063737559513
1969-12-31,,,-0.005472205982916867
1970-01-31,,,0.0297096749949326
1970-02-28,,,0.0699954511078813
1970-03-31,,,-0.008606673422587363
1970-04-30,,,-0.025061576005452557
1970-05-31,,,0.01905246440984243
1970-06-30,,,0.02939664810297149
1970-07-31,,,-0.020148165666562523
1970-08-31,,,0.015268052693634626
1970-09-30,,,-0.004723801728789501
1970-10-31,,,-0.0033362387288662365
1970-11-30,,,0.038253846293231586
1970-12-31,,,0.002055405966528534
1971-01-31,,,-0.044646263768698735
1971-02-28,,,-0.09768594486556526
1971-03-31,,,-0.1308132990521651
1971-04-30,,,-0.03550919282338527
1971-05-31,,,-0.04635505680925056
1971-06-30,,,0.035357824266250226
1971-07-31,,,-0.014153975460382995
1971-08-31,,,-0.04867787697654813
1971-09-30,,,-0.04909526238979456
1971-10-31,,,-0.06331000024623823
1971-11-30,,,-0.09674746574234128
1971-12-31,,,-0.06979125959902333
1972-01-31,,,0.01387505465012473
1972-02-29,,,0.03036855701748431
1972-03-31,,,0.05633557694971847
1972-04-30,,,-0.021319619136063173
1972-05-31,,,-0.027078492248234665
1972-06-30,,,-0.09712389347195094
1972-07-31,,,-0.0060910293986200514
1972-08-31,,,-0.029190026949340697
1972-09-30,,,-0.07171527773277475
1972-10-31,,,0.06605860091037741
1972-11-30,,,-0.018793948821337336
1972-12-31,,,-0.03693370246043515
1973-01-31,,,-0.09689704214296302
1973-02-28,,,0.01348671660932177
1973-03-31,,,0.016740368412395235
1973-04-30,,,0.03493201764241993
1973-05-31,,,0.04740573795339187
1973-06-30,,,-0.024147817157399776
1973-07-31,,,-0.027567286343221364
1973-08-31,,,0.10267528950298432
1973-09-30,,,0.18716473520675114
1973-10-31,,,0.20803847663113828
1973-11-30,,,0.034112955544638446
1973-12-31,,,0.07716737738265356
1974-01-31,,,0.10130207621561915
1974-02-28,,,0.07625354091385317
1974-03-31,,,0.08338574881487681
1974-04-30,,,0.04233443864286923
1974-05-31,,,0.08777184006347216
1974-06-30,,,0.11490909292387785
1974-07-31,,,0.10568552100789064
1974-08-31,,,0.060482472767637185
1974-09-30,,,0.048489443167504254
